Gene	withingroup.factor	acrossgroup.factor	rescale.factor
AC006041.1	1	1	1
AC006042.6	1	1	1
AC006042.7	1	1	1
AC006050.2	1	1	1
AC006076.1	1	1	1
AC006080.1	1	1	1
AC006115.1	1	1	1
AC006115.3	1	1	1
AC006116.1	1	1	1
AC006116.12	1	1	1
AC006116.15	1	1	1
AC006116.17	1	1	1
AC006116.19	1	1	1
AC006116.20	1	1	1
AC006116.21	1	1	1
AC006116.24	1	1	1
AC006126.3	1	1	1
AC006126.4	1	1	1
AC006129.1	1	1	1
AC006129.2	1	1	1
AC006129.4	1	1	1
AC006130.1	1	1	1
AC006130.3	1	1	1
AC006132.1	1	1	1
AC006145.1	1	1	1
AC006150.1	1	1	1
AC006150.2	1	1	1
AC006156.1	1	1	1
AC006159.3	1	1	1
AC006159.4	1	1	1
AC006159.5	1	1	1
AC006160.5	1	1	1
AC006196.1	1	1	1
AC006227.1	1	1	1
AC006262.10	1	1	1
AC006262.4	1	1	1
AC006262.5	1	1	1
AC006262.6	1	1	1
AC006272.1	1	1	1
AC006272.2	1	1	1
AC006273.4	1	1	1
AC006273.5	1	1	1
AC006273.7	1	1.23	1.23
AC006277.2	1	1	1
AC006296.1	1	1	1
AC006296.2	1	1	1
AC006322.1	1	1	1
AC006328.1	1	1	1
AC006369.2	1	1	1
AC006369.3	1	1	1
AC006371.1	1	1	1
AC006372.1	1	1	1
AC006372.4	1	1	1
AC006372.5	1	1	1
AC006372.6	1	1	1
AC006373.1	1	1	1
AC006377.1	1	1	1
AC006378.2	1	1	1
AC006380.1	1	1	1
AC006380.3	1	1	1
AC006432.1	1	1	1
AC006435.1	1	1	1
AC006445.8	1	1	1
AC006449.1	1	1	1
AC006452.1	1	1	1
AC006455.1	1	1	1
AC006458.3	1	1	1
AC006460.2	1	1	1
AC006480.1	1	1	1
AC006481.1	1	1	1
AC006482.1	1	1	1
AC006483.1	1	1	1
AC006486.1	1	1.012	1.012
AC006486.9	1	1	1
AC006487.1	1	1	1
AC006534.1	1	1	1
AC006534.2	1	1	1
AC006538.1	1.129	1.132	1.132
AC006538.4	1	1	1
AC006539.1	1	1	1
AC006547.13	1	1	1
AC006547.14	1	1	1
AC006547.15	1	1	1
AC006547.8	1	1	1
AC006552.1	1	1	1
AC006557.1	1	1	1
AC006926.1	1	1	1
AC006942.4	1	1	1
AC006946.15	1	1	1
AC006946.16	1	1	1
AC006946.17	1	1	1
AC006947.1	1	1	1
AC006953.1	1	1	1
AC006960.7	1	1	1
AC006967.1	1	1	1
AC006988.1	1	1	1
AC006994.2	1	1	1
AC006994.3	1	1	1
AC006995.8	1	1	1
AC007003.1	1	1	1
AC007009.1	1	1	1
AC007009.2	1	1	1
AC007025.1	1	1	1
AC007036.4	1	1	1
AC007036.5	1	1	1
AC007036.6	1	1	1
AC007038.7	1	1	1
AC007040.1	1	1	1
AC007040.11	1	1	1
AC007040.2	1	1	1
AC007040.3	1	1	1
AC007040.5	1	1	1
AC007040.6	1	1	1
AC007040.7	1	1	1
AC007040.8	1	1	1
AC007041.1	1	1	1
AC007050.1	1	1	1
AC007050.17	1	1	1
