Gene	withingroup.factor	acrossgroup.factor	rescale.factor
RP11-848P1.9	1	1	1
RP11-849F2.4	1	1	1
RP11-849F2.5	1	1	1
RP11-849F2.7	1	1	1
RP11-849F2.8	1.015	1.148	1.148
RP11-849F2.9	1	1.085	1.085
RP11-849H4.2	1	1	1
RP11-849H4.4	1	1	1
RP11-849I19.1	1.657	2.007	2.007
RP11-849N15.1	1	1	1
RP11-849N15.4	1	1	1
RP11-84A1.3	1	1	1
RP11-84A14.4	1	1.012	1.012
RP11-84A14.5	1	1	1
RP11-84A19.2	1	1	1
RP11-84A19.3	1	1	1
RP11-84A19.4	1	1	1
RP11-84C10.2	1	1	1
RP11-84C10.3	1	1	1
RP11-84C10.4	1	1	1
RP11-84C13.1	1	1	1
RP11-84C13.2	1	1.033	1.033
RP11-84D1.1	1	1	1
RP11-84D1.2	1	1	1
RP11-84E24.2	1	1	1
RP11-84E24.3	1	1	1
RP11-84G21.1	1	1	1
RP1-184J9.2	1	1	1
RP11-84O12.4	1	1	1
RP11-850F7.7	1	1	1
RP11-854K16.3	1	1	1
RP11-855A2.3	1	1	1
RP11-855A2.5	1	1	1
RP11-855C21.1	1	1	1
RP11-855O10.2	1	1	1
RP11-855O10.3	1	1	1
RP11-856F16.2	1	1	1
RP11-856M7.1	1	1	1
RP11-856M7.2	1	1	1
RP11-856M7.4	1	1	1
RP11-856M7.6	1	1	1
RP11-857B24.1	1	1	1
RP11-857B24.5	1	1	1
RP11-85A1.3	1	1	1
RP11-85B7.2	1	1	1
RP11-85B7.4	1	1	1
RP11-85E16.1	1	1	1
RP11-85F14.5	1.078	1.181	1.181
RP11-85G18.6	1	1	1
RP11-85G21.1	1	1	1
RP11-85G21.2	1	1	1
RP11-85G21.3	1	1	1
RP11-85I21.1	1	1	1
RP11-85K15.2	1.03	1.162	1.162
RP11-85L21.4	1	1	1
RP11-85L21.6	1	1	1
RP11-85M11.2	1	1	1
RP11-85O21.2	1	1	1
RP11-85O21.4	1	1	1
RP11-85O21.5	1	1	1
RP11-860B13.1	1	1	1
RP11-860B13.3	1	1	1
RP11-861A13.4	1	1	1
RP11-861E21.1	1	1	1
RP11-861E21.2	1.072	1.513	1.513
RP11-861L17.3	1	1	1
RP11-862G15.1	1	1	1
RP11-862G15.2	1	1	1
RP11-862L9.3	1	1	1
RP11-862P13.1	1	1	1
RP11-863H1.1	1	1	1
RP11-863K10.2	1	1	1
RP11-863K10.7	1	1	1
RP11-863P13.1	1	1	1
RP11-863P13.2	1	1	1
RP11-863P13.3	1	1	1
RP11-863P13.4	1	1	1
RP11-863P13.5	1	1	1
RP11-863P13.6	1	1	1
RP11-864G5.3	1	1	1
RP11-864I4.3	1	1	1
RP11-864I4.4	1	1	1
RP11-864J10.4	1	1	1
RP11-865B13.1	1	1	1
RP11-865I6.2	1	1	1
RP11-866E20.3	1	1	1
RP11-867G2.2	1	1	1
RP11-867G23.1	1	1	1
RP11-867G23.10	1	1	1
RP11-867G23.12	1	1	1
RP11-867G23.13	1	1	1
RP11-867G23.2	1	1	1
RP11-867G23.3	1	1	1
RP11-867G23.4	1	1	1
RP11-867G23.8	1	1	1
RP11-867G2.5	1	1	1
RP11-867G2.6	1	1	1
RP11-867G2.8	1	1	1
RP11-867O8.5	1	1	1
RP11-869B15.1	1	1	1
RP11-86A5.1	1	1	1
RP11-86H7.6	1	1	1
RP11-86H7.7	1	1	1
RP11-86L19.2	1	1	1
RP11-871F6.3	1.068	1.032	1.068
RP11-872D17.4	1	1	1
RP11-872D17.8	1	1	1
RP11-872J21.3	1	1.23	1.23
RP11-873E20.1	1	1.019	1.019
RP11-874J12.3	1	1	1
RP11-874J12.4	1	1	1
RP11-875H7.1	1	1	1
RP11-875H7.2	1	1	1
RP11-875H7.5	1	1	1
RP11-875O11.1	1	1	1
RP11-875O11.2	1	1	1
RP11-875O11.3	1	1	1
RP11-876F14.1	1	1	1
RP11-876N24.2	1	1	1
RP11-876N24.4	1	1	1
RP11-876N24.5	1	1	1
RP11-879F14.1	1	1	1
RP11-879F14.2	1	1	1
RP11-879F14.3	1	1	1
RP1-187B23.1	1	1	1
RP11-87C12.2	1	1	1
RP11-87C12.5	1	1	1
RP11-87E22.1	1	1	1
RP11-87E22.2	1	1	1
RP11-87F15.2	1	1	1
RP11-87G24.3	1	1	1
RP11-87G24.6	1	1	1
RP11-87H9.3	1	1	1
RP11-87M18.2	1	1	1
RP11-87N24.2	1	1	1
RP11-87N24.3	1	1	1
RP11-87P13.2	1	1	1
RP11-881L2.1	1	1	1
RP11-881M11.1	1	1	1
RP11-881M11.2	1	1	1
RP11-881M11.4	1	1	1
RP11-881M11.8	1	1	1
RP11-882G5.1	1	1	1
RP11-883A18.3	1	1	1
RP11-883G14.1	1	1	1
RP11-883G14.2	1	1	1
RP11-883G14.3	1	1	1
RP11-883G14.4	1	1	1
RP11-884K10.6	1	1	1
RP11-884K10.7	1	1	1
RP11-885B4.1	1	1	1
RP11-885B4.2	1	1	1
RP11-885N19.6	1	1	1
RP11-886D15.1	1	1	1
RP11-886H22.1	1	1	1
RP11-886P16.6	1	1	1
RP11-887P2.5	1	1	1
RP11-887P2.6	1	1	1
RP11-888D10.3	1	1	1
RP11-888D10.4	1	1.061	1.061
RP11-889D3.1	1	1	1
RP11-889D3.2	1	1	1
RP11-88H10.2	1	1	1
RP11-88H10.3	1	1	1
RP11-88H12.2	1	1	1
RP11-88H9.2	1	1	1
RP11-88I18.2	1	1	1
RP11-88I18.3	1	1	1
RP11-88I21.2	1	1	1
RP11-88L24.4	1	1	1
RP11-890B15.2	1	1	1
RP11-890B15.3	1	1.035	1.035
RP11-893F2.13	1	1	1
RP11-893F2.14	1	1	1
RP11-893F2.15	1	1	1
RP11-893F2.5	1	1	1
RP11-893F2.6	1	1	1
RP11-893F2.9	1	1	1
RP11-894J14.5	1	1	1
RP11-894P9.1	1	1	1
RP11-894P9.2	1	1	1
RP11-895K13.2	1	1	1
RP11-895M11.3	1	1	1
RP11-896J10.3	1	1	1
RP11-897M7.1	1	1	1
RP11-899L11.1	1	1	1
RP11-899L11.3	1	1	1
RP11-89B16.1	1	1	1
RP11-89C3.3	1	1	1
RP11-89C3.4	1	1	1
RP11-89F3.2	1	1	1
RP11-89H19.1	1	1	1
RP11-89K10.1	1	1	1
RP11-89K11.1	1	1	1
RP11-89K21.1	1.126	2.682	2.682
RP11-89K22.1	1	1	1
RP11-89M16.1	1	1	1
RP11-89M20.2	1	1	1
RP11-89M22.3	1	1	1
RP11-89N17.1	1	1	1
RP11-89N17.2	1	1	1
RP11-89N17.3	1	1	1
RP11-89N17.4	1	1	1
RP1-18D14.7	1	1	1
RP11-8L2.1	1	1	1
RP11-8L21.1	1	1	1
RP11-8L8.2	1	1	1
RP11-8P11.3	1	1	1
RP11-902B17.1	1	1	1
RP11-903H12.3	1	1	1
RP11-905K4.1	1	1	1
RP11-907D1.1	1	1	1
RP11-907D1.2	1	1	1
RP11-909B2.1	1	1	1
RP11-909M7.3	1	1	1
RP11-909N17.2	1	1	1
RP11-909N17.3	1	1.019	1.019
RP11-90B22.1	1	1.039	1.039
RP11-90B9.2	1.16	1.036	1.16
RP11-90C1.1	1	1	1
RP11-90C4.1	1	1	1
RP11-90C4.2	1	1	1
RP11-90C4.3	1	1	1
RP11-90D11.1	1	1	1
RP11-90D4.3	1	1	1
RP11-90E5.1	1	1	1
RP11-90J7.2	1	1	1
RP11-90J7.4	1	1	1
RP11-90K17.2	1	1	1
RP11-90K6.1	1	1	1
RP11-90L20.2	1	1	1
RP11-90P13.1	1	1	1
RP11-90P5.2	1	1	1
RP11-90P5.4	1	1	1
RP11-90P5.5	1	1	1
RP11-90P5.7	1	1	1
RP11-916L7.1	1	1	1
RP11-91A18.4	1	1	1
RP11-91G21.1	1.042	1.213	1.213
RP11-91H12.3	1	1	1
RP11-91H12.4	1	1	1
RP11-91I20.1	1	1	1
RP11-91I20.2	1	1	1
RP11-91I20.3	1	1	1
RP11-91I20.4	1	1	1
RP11-91I8.1	1	1	1
RP11-91I8.3	1	1	1
RP1-191J18.66	1	1	1
RP11-91J19.3	1	1	1
RP11-91J19.4	1.073	1	1.073
RP11-91J3.2	1	1	1
RP11-91J3.3	1	1	1
RP11-91K11.2	1	1	1
RP11-91K8.5	1	1	1
RP11-91K9.1	1	1	1
RP1-191L6.2	1	1	1
RP11-91N2.3	1	1	1
RP11-91P17.1	1	1	1
RP11-91P24.5	1	1	1
RP11-91P24.6	1	1	1
RP11-91P24.7	1	1	1
RP11-923I11.3	1	1	1
RP11-923I11.4	1	1	1
RP11-923I11.5	1	1	1
RP11-923I11.6	1	1	1
RP11-927P21.1	1.034	1	1.034
RP11-927P21.11	1	1	1
RP11-927P21.2	1	1	1
RP11-928F19.5	1	1	1
RP11-92A5.2	1	1	1
RP11-92B11.3	1	1	1
RP11-92B11.4	1	1	1
RP11-92C4.3	1	1	1
RP11-92C4.6	1	1	1
RP11-92G12.3	1	1	1
RP11-92G19.2	1	1	1
RP11-92K15.1	1	1	1
RP11-92K15.3	1	1	1
RP11-930O11.1	1	1	1
RP11-930O11.2	1	1	1
RP11-930P14.1	1	1	1
RP11-930P14.2	1	1	1
RP11-932A10.1	1	1	1
RP11-932O9.10	1.899	1.188	1.899
RP11-932O9.4	1	1	1
RP11-932O9.7	1.628	1	1.628
RP11-932O9.8	1	1	1
RP11-932O9.9	1	1	1
RP11-933H2.4	1	1	1
RP11-934B9.3	1	1	1
RP11-936I5.1	1	1	1
RP11-939C17.4	1	1	1
RP11-93B14.4	1	1	1
RP11-93B14.5	1	1	1
RP11-93B14.6	1	1	1
RP11-93H12.2	1	1	1
RP11-93H12.4	1	1	1
RP1-193H18.2	1.023	1	1.023
RP1-193H18.3	1	1	1
RP11-93I21.3	1	1	1
RP11-93K22.13	1	1	1
RP11-93K22.6	1	1	1
RP11-93L9.1	1	1	1
RP11-93N20.1	1	1	1
RP11-93O14.2	1	1	1
RP11-93O17.1	1	1	1
RP11-93O7.5	1	1	1
RP11-941H19.3	1	1	1
RP11-944C7.1	1	1	1
RP11-944L7.4	1	1	1
RP11-944L7.5	1	1	1
RP11-945A11.1	1	1	1
RP11-945A11.2	1	1	1
RP11-945C19.1	1	1	1
RP11-945C19.4	1	1	1
RP11-945F5.1	1	1	1
RP11-946L16.1	1	1	1
RP11-946L20.2	1	1	1
RP11-946L20.4	1	1	1
RP11-94A24.1	1	1	1
RP11-94B19.1	1	1	1
RP11-94B19.2	1	1	1
RP11-94B19.3	1	1	1
RP11-94B19.4	1	1	1
RP11-94B19.5	1	1	1
RP11-94B19.6	1	1	1
RP11-94B19.7	1	1	1
RP11-94C24.11	1	1	1
RP11-94C24.6	1	1	1
RP11-94C24.8	1	1	1
RP11-94H18.1	1	1	1
RP11-94H18.2	1	1	1
RP11-94H6.1	1	1	1
RP11-94I2.4	1	1	1
RP11-94L15.2	1	1	1
RP11-94M14.2	1	1	1
RP11-94M14.3	1	1	1
RP11-94P11.4	1	1	1
RP11-950C14.3	1	1	1
RP11-950C14.7	1	1	1
RP11-953B20.1	1	1	1
RP11-955H22.1	1	1	1
RP11-955H22.3	1	1	1
RP11-956E11.1	1	1	1
RP11-956J14.1	1	1	1
RP11-958F21.1	1	1	1
RP11-958F21.3	1	1	1
RP11-958J22.1	1	1	1
RP11-958J22.3	1	1	1
RP11-958N24.1	1	1	1
RP11-959I15.4	1	1	1
RP11-95D17.1	1.02	1	1.02
RP11-95G17.2	1	1	1
RP11-95H11.1	1	1	1
RP11-95H3.1	1	1	1
RP11-95H8.5	1	1	1
RP11-95I16.2	1	1	1
RP11-95I16.4	1	1	1
RP11-95K23.3	1	1	1
RP11-95K23.5	1	1	1
RP11-95K23.6	1	1	1
RP11-95L3.2	1	1	1
RP11-95M15.1	1	1	1
RP11-95M5.1	1	1	1
RP11-95O2.1	1	1	1
RP11-95O2.5	1	1	1
RP11-95P13.1	1	1	1
RP11-95P13.2	1	1	1
RP11-95P2.1	1.417	1.526	1.526
RP11-95P2.3	1.036	1	1.036
RP11-960B9.2	1	1	1
RP11-960D24.1	1	1	1
RP11-960L18.1	1	1	1
RP11-961A15.1	1	1	1
RP11-962G15.1	1	1	1
RP11-963H4.3	1	1	1
RP11-963H4.5	1	1	1
RP11-964E11.2	1	1	1
RP11-966I7.1	1	1	1
RP11-966I7.2	1	1	1
RP11-966I7.3	1	1	1
RP11-967K21.1	1	1	1
RP11-968A15.2	1	1	1
RP11-968A15.8	1	1	1
RP11-968O1.5	1	1	1
RP11-96A1.5	1	1	1
RP11-96B2.1	1	1	1
RP11-96B5.3	1	1	1
RP11-96B5.4	1	1	1
RP11-96C21.1	1	1	1
RP11-96C23.10	1	1	1
RP11-96C23.14	1	1	1
RP11-96C23.15	1	1	1
RP11-96C23.5	1	1	1
RP11-96C23.9	1	1	1
RP11-96D1.10	1	1.073	1.073
RP11-96D1.11	1	1	1
RP11-96D1.3	1	1	1
RP11-96D1.5	1	1	1
RP11-96D1.6	1	1	1
RP11-96D1.7	1	1	1
RP11-96D1.9	1	1	1
RP11-96D24.1	1	1	1
RP11-96G10.1	1	1	1
RP11-96H17.1	1	1	1
RP11-96H17.3	1	1	1
RP11-96H19.1	1	1	1
RP11-96K19.2	1	1	1
RP11-96K19.4	1	1	1
RP11-96K19.5	1	1	1
RP11-96L14.7	1	1	1
RP11-96L7.2	1	1	1
RP11-96O20.2	1	1	1
RP11-96O20.4	1	1	1
RP11-96P7.1	1	1	1
RP11-973D8.4	1	1	1
RP11-973F15.1	1	1	1
RP11-973F15.2	1	1	1
RP11-973H7.1	1	1	1
RP11-973H7.3	1.055	1.021	1.055
RP11-973H7.4	1	1	1
RP11-973H7.5	1	1	1
RP11-973N13.3	1	1	1
RP11-973N13.4	1	1	1
RP11-977B10.2	1	1	1
RP11-977G19.10	1	1	1
RP11-977G19.11	1	1.007	1.007
RP11-977G19.12	1	1	1
RP11-977G19.14	1	1	1
RP11-977G19.5	3.276	2.463	3.276
RP11-977P2.1	1	1	1
RP11-978I15.10	1	1	1
RP1-197B17.3	1	1	1
RP11-97C16.1	1.805	1.36	1.805
RP11-97E7.1	1	1	1
RP11-97E7.2	1	1	1
RP11-97N19.2	1	1	1
RP11-97O12.2	1	1	1
RP11-97O12.6	1	1	1
RP11-97O12.7	1	1	1
RP11-981G7.1	1	1	1
RP11-981G7.2	1	1	1
RP11-981G7.3	1	1	1
RP11-981G7.6	1	1	1
RP11-981P6.1	1	1	1
RP11-982M15.2	1	1	1
RP11-982M15.5	1	1	1
RP11-982M15.6	1	1	1
RP11-982M15.7	1	1	1
RP11-982M15.8	1	1	1
RP11-983C2.2	1	1	1
RP11-983C2.3	1	1	1
RP11-983P16.2	1.014	1.12	1.12
RP11-983P16.4	1	1.056	1.056
RP11-986E7.7	1	1	1
RP11-989E6.10	1	1	1
RP11-989E6.3	1	1	1
RP11-989E6.8	1	1	1
RP11-989F5.1	1	1	1
RP11-989F5.3	1	1	1
RP11-98C1.1	1	1	1
RP11-98C1.2	1	1	1
RP11-98D18.1	1	1	1
RP11-98D18.15	1	1	1
RP11-98D18.16	1	1	1
RP11-98D18.17	1	1	1
RP11-98D18.2	1	1	1
RP11-98D18.3	1	1	1
RP11-98D18.9	1	1	1
RP11-98F14.11	1	1	1
RP11-98G13.1	1	1	1
RP11-98G7.1	1	1	1
RP11-98I9.4	1	1	1
RP11-98J9.1	1	1	1
RP11-98J9.2	1	1	1
RP11-98J9.3	1	1	1
RP11-98L5.2	1	1	1
RP11-98L5.4	1	1	1
RP11-98L5.5	1	1	1
RP11-98O2.1	1	1	1
RP11-991C1.1	1	1	1
RP11-991C1.2	1	1	1
RP11-993B23.3	1	1	1
RP11-996F15.2	1	1	1
RP11-998D10.1	1	1	1
RP11-998D10.4	1	1	1
RP11-998D10.7	1	1	1
RP11-999E24.3	1.142	1	1.142
RP11-99A1.2	1	1	1
RP11-99C10.1	1	1	1
RP11-99E15.2	1	1	1
RP11-99H20.1	1	1	1
RP11-99H8.1	1	1	1
RP11-99J16__A.2	1	1	1
RP1-199J3.7	1	1	1
RP11-99L13.1	1	1	1
RP11-99L13.2	1	1	1
RP11-9B6.1	1	1	1
RP11-9G1.3	1	1	1
RP11-9L18.3	1	1	1
RP11-9M16.2	1	1	1
RP11-9N20.3	1	1	1
RP1-1J6.2	1	1	1
RP1-200K18.1	1	1	1
RP1-202O8.2	1	1	1
RP1-202O8.3	1	1	1
RP1-206D15.3	1	1	1
RP1-207H1.3	1	1	1
RP1-209A6.1	1	1	1
RP1-20B11.2	1	1	1
RP1-20B21.4	1	1	1
RP1-20C7.6	1	1	1
RP1-20N2.6	1	1	1
RP1-212G6.7	1	1	1
RP1-212P9.2	1	1	1
RP1-212P9.3	1	1	1
RP1-213J1P__B.1	1	1	1
RP1-213J1P__B.2	1	1	1
RP1-214M20.2	1	1	1
RP1-223B1.1	1	1	1
RP1-223E5.4	1	1	1
RP1-224A6.3	1	1	1
RP1-224A6.9	1	1	1
RP1-225E12.2	1	1	1
RP1-225E12.3	1	1	1
RP1-228H13.5	1	1	1
RP1-228P16.1	1	1.118	1.118
RP1-228P16.3	1	1	1
RP1-228P16.4	1	1	1
RP1-228P16.5	1	1	1
RP1-230L10.1	1	1	1
RP1-231P7P.1	1	1	1
RP1-232L24.3	1	1	1
RP1-232N11.2	1	1	1
RP1-232P20.1	1	1	1
RP1-234P15.4	1	1	1
RP1-239B22.5	1.733	1	1.733
RP1-23E21.2	1	1	1
RP1-23K20.2	1	1	1
RP1-240B8.3	1	1	1
RP1-240K6.3	1	1	1
RP1-241P17.1	1	1	1
RP1-241P17.4	1	1.161	1.161
RP1-244F24.1	1	1	1
RP1-249F5.3	1	1	1
RP1-249H1.2	1	1	1
RP1-249H1.4	1	1	1
RP1-249I4.2	1	1	1
RP1-251I12.1	1	1	1
RP1-251M9.2	1	1	1
RP1-251M9.3	1	1	1
RP1-253P7.1	1	1	1
RP1-256G22.2	1	1	1
RP1-257A15.1	1	1	1
RP1-257A7.4	1	1	1
RP1-257A7.5	1	1	1
RP1-257I20.14	1	1	1
RP1-257I9.2	1	1	1
RP1-261D10.2	1	1	1
RP1-261G23.5	1	1	1
RP1-261G23.7	1	1	1
RP1-265C24.8	1	1.012	1.012
RP1-266L20.2	1	1	1
RP1-266L20.4	1	1	1
RP1-266L20.9	1	1	1
RP1-267L14.3	1	1	1
RP1-269M15.3	1	1	1
RP1-272J12.1	1	1	1
RP1-272L16.1	1	1	1
RP1-273G13.3	1	1	1
RP1-274L7.1	1	1	1
RP1-276E15.1	1	1	1
RP1-276N6.2	1	1	1
RP1-278O22.1	1	1	1
RP1-278O22.2	1	1	1
RP1-27K12.2	1	1	1
RP1-27K12.4	1	1	1
RP1-27O5.3	1	1	1
RP1-283E3.4	1	1	1
RP1-283E3.8	1	1.355	1.355
RP1-283K11.2	1	1	1
RP1-283K11.3	1	1	1
RP1-286D6.5	1	1	1
RP1-287H17.1	1	1	1
RP1-288H2.2	1	1	1
RP1-288H2.4	1	1	1
RP1-288L1.4	1	1	1
RP1-288L1.5	1	1	1
RP1-288M22.2	1	1	1
RP1-28H20.3	1	1.044	1.044
RP1-28O10.1	1	1	1
RP1-28O17.1	1	1	1
RP1-290I10.3	1	1	1
RP1-290I10.5	1	1	1
RP1-290I10.7	1	1	1
RP1-292B18.3	1	1	1
RP1-292B18.4	1	1	1
RP1-293L6.1	1	1	1
RP1-293L8.2	1	1	1
RP1-296L11.1	1	1	1
RP1-297M16.2	1	1	1
RP1-29C18.10	1	1	1
RP1-29C18.8	1.198	1	1.198
RP1-29C18.9	1	1	1
RP1-29G21.1	1	1	1
RP1-300G12.2	1	1	1
RP1-300I2.2	1	1	1
RP1-302D9.1	1	1	1
RP1-302D9.2	1	1	1
RP1-302D9.3	1	1	1
RP1-302G2.5	1	1	1
RP1-309F20.3	1	1	1
RP1-309F20.4	1	1	1
RP1-309H15.2	1	1	1
RP1-309K20.6	1	1	1
RP1-30E17.2	1	1	1
RP1-30G7.2	1	1	1
RP1-30M3.5	1	1.211	1.211
RP1-30M3.6	1	1	1
RP13-1016M1.2	1	1	1
RP13-1032I1.7	1	1.198	1.198
RP13-1039J1.2	1	1	1
RP13-1039J1.3	1	1	1
RP13-1039J1.4	1	1	1
RP1-310O13.7	1	1	1
RP13-122B23.8	1	1	1
RP13-126C7.1	1	1	1
RP13-131K19.1	1.157	1.024	1.157
RP13-131K19.2	1	1	1
RP13-131K19.6	1	1	1
RP13-131K19.7	1	1	1
RP13-137A17.4	1	1	1
RP13-137A17.5	1	1	1
RP13-137A17.6	1	1	1
RP1-313I6.12	1	1	1
RP1-313L4.3	1	1	1
RP13-143G15.3	1	1	1
RP13-143G15.4	1	1	1
RP13-152O15.5	1	1	1
RP13-15E13.1	1	1	1
RP1-315G1.3	1.1	1.038	1.1
RP13-16H11.2	1	1	1
RP13-16H11.5	1	1	1
RP13-16H11.7	1	1	1
RP1-317E23.3	1	1	1
RP1-317E23.6	1	1	1
RP1-317E23.7	1	1	1
RP13-188A5.1	1	1	1
RP13-192B19.2	1	1	1
RP13-20L14.1	1	1.136	1.136
RP13-20L14.4	1	1	1
RP13-20L14.6	1	1	1
RP13-210D15.4	1	1	1
RP13-212L9.1	1	1	1
RP13-216E22.4	1	1	1
RP13-216E22.5	1	1	1
RP13-221M14.2	1	1	1
RP13-221M14.3	1	1	1
RP13-225O21.2	1	1	1
RP13-228J13.1	1.025	1	1.025
RP13-228J13.5	1	1.075	1.075
RP13-238F13.3	1	1	1
RP13-238F13.5	1	1	1
RP13-259N13.2	1	1	1
RP13-262C2.3	1	1	1
RP13-270P17.1	1	1	1
RP13-270P17.2	1	1	1
RP13-270P17.3	1	1	1
RP13-279N23.2	1	1	1
RP13-297E16.4	1	1	1
RP13-297E16.5	1	1	1
RP1-32B1.4	1	1.025	1.025
RP1-32I10.10	1	1	1
RP13-30A9.1	1	1	1
RP13-30A9.2	1	1	1
RP13-314C10.5	1	1	1
RP13-317D12.3	1	1	1
RP13-329D4.3	1	1	1
RP13-348B13.2	1	1	1
RP13-36G14.4	1	1	1
RP13-379L11.1	1	1	1
RP13-379L11.2	1	1	1
RP13-379O24.2	1	1	1
RP13-379O24.3	1	1	1
RP13-392I16.1	1	1	1
RP13-395E19.3	1	1	1
RP13-39P12.3	1	1	1
RP13-401N8.1	1	1	1
RP13-436F16.1	1	1	1
RP13-439H18.4	1	1	1
RP13-43E11.1	1	1	1
RP13-444H2.1	1	1	1
RP13-452N2.1	1	1	1
RP13-455A7.1	1	1	1
RP13-463N16.6	1	1	1
RP13-467H17.1	1	1	1
RP13-46H24.1	1	1	1
RP13-476E20.1	1	1	1
RP13-487K5.1	1	1	1
RP13-487P22.1	1	1	1
RP13-492C18.2	1	1	1
RP13-494C23.1	1	1	1
RP13-497K6.1	1	1	1
RP1-34H18.1	1	1	1
RP1-34M23.5	1	1	1
RP13-507P19.1	1	1	1
RP13-507P19.2	1	1	1
RP13-512J5.1	1.091	1	1.091
RP13-514E23.1	1	1	1
RP13-514E23.2	1	1	1
RP13-516M14.1	1	1.188	1.188
RP13-516M14.2	1	1.024	1.024
RP13-516M14.4	1.064	1	1.064
RP13-539F13.3	1	1	1
RP13-539J13.1	1	1	1
RP13-560N11.1	1	1	1
RP13-577H12.2	1	1	1
RP13-578N3.3	1	1	1
RP13-57D9.3	1	1	1
RP13-580B18.1	1	1	1
RP13-580F15.2	1	1	1
RP13-582L3.4	1	1	1
RP13-582O9.5	1.016	2.129	2.129
RP13-582O9.7	1	1	1
RP1-35C21.1	1	1	1
RP1-35C21.2	1	1	1
RP13-608F4.1	1	1	1
RP13-608F4.8	1	1	1
RP13-60M5.2	1	1	1
RP13-612N21.1	1	1	1
RP13-614K11.1	1	1	1
RP13-614K11.2	1	1	1
RP13-616I3.1	1	1	1
RP13-631K18.2	1	1	1
RP13-631K18.3	1	1	1
RP13-631K18.5	1	1	1
RP13-635I23.3	1	1	1
RP13-638C3.2	1	1	1
RP13-638C3.3	1	1	1
RP13-638C3.4	1	1.06	1.06
RP13-650J16.1	1	1	1
RP13-653N12.1	1	1	1
RP13-653N12.2	1	1	1
RP13-672B3.2	1	1	1
RP13-726E6.1	1	1	1
RP13-726E6.2	1	1	1
RP13-735L24.1	1	1	1
RP13-753N3.1	1	1	1
RP13-766D20.2	1	1	1
RP1-37C10.3	1	1	1
RP1-37J18.1	1	1	1
RP1-37J18.2	1	1	1
RP1-37N7.1	1	1	1
RP1-37N7.3	1	1	1
RP13-81N3.2	1	1	1
RP13-820C6.2	1	1	1
RP13-870H17.3	1	1	1
RP13-884E18.2	1	1	1
RP13-884E18.4	1	1	1
RP13-890H12.2	1	1	1
RP13-895J2.2	1	1	1
RP13-895J2.3	1	1	1
RP13-895J2.7	1	1	1
RP1-38C16.2	1	1	1
RP13-923O23.6	1	1	1
RP13-941N14.1	1	1	1
RP13-977J11.2	1.013	1.034	1.034
RP13-977J11.8	1	1	1
RP13-98N21.2	1	1	1
RP13-98N21.3	1	1	1
RP13-991F5.2	1	1	1
RP13-996F3.3	1	2.168	2.168
RP13-996F3.4	1	1.48	1.48
RP13-996F3.5	1	1.165	1.165
RP1-39G22.7	1	1.037	1.037
RP1-39J2.1	1	1	1
RP1-3J17.3	1	1	1
RP1-40E16.11	1	1	1
RP1-40E16.12	1.004	1.214	1.214
RP1-40E16.2	1	1	1
RP1-40E16.9	1	1	1
RP1-41C23.1	1	1	1
RP1-41P2.7	1	1	1
RP1-43E13.2	1	1	1
RP1-45C12.1	1	1	1
RP1-45I4.2	1	1	1
RP1-45I4.3	1	1	1
RP1-45N11.1	1	1	1
RP1-46F2.2	1	1	1
RP1-46F2.3	1	1	1
RP1-4G17.2	1	1	1
RP1-4G17.5	1	1	1
RP1-50J22.4	1	1	1
RP1-50O24.6	1	1	1
RP1-55C23.7	1	1	1
RP1-56J10.8	1	1	1
RP1-56K13.2	1	1	1
RP1-56K13.3	1	1	1
RP1-56K13.5	1	1	1
RP1-58B11.1	1	1	1
RP1-59D14.1	1	1	1
RP1-59D14.5	1	1	1
RP1-59M18.2	1	1	1
RP1-5O6.4	1	1	1
RP1-5O6.5	1	1	1
RP1-60N8.1	1	1	1
RP1-60O19.1	1	1	1
RP1-60O19.2	1	1	1
RP1-62O9.3	1	1	1
RP1-63G5.5	1	1	1
RP1-63G5.7	1	1	1
RP1-63G5.8	1	1	1
RP1-63M2.5	1	1	1
RP1-63M2.6	1	1	1
RP1-64K7.4	1	1	1
RP1-65J11.1	1	1	1
RP1-65J11.5	1	1	1
RP1-65P5.1	1	1	1
RP1-65P5.3	1	1	1
RP1-65P5.5	1	1	1
RP1-66C13.4	1	1	1
RP1-66N13.1	1	1	1
RP1-67A8.3	1	1	1
RP1-67K17.3	1	1	1
RP1-67K17.4	1	1	1
RP1-68D18.2	1	1	1
RP1-68D18.3	1	1	1
RP1-68D18.4	1	1	1
RP1-69D17.3	1	1	1
RP1-69D17.4	1	1	1
RP1-69M21.2	1	1	1
RP1-71H19.2	1	1	1
RP1-71H24.1	1	1	1
RP1-74B13.2	1	1	1
RP1-74M1.3	1	1	1
RP1-76B20.11	1	1	1
RP1-76B20.12	1	1	1
RP1-77H15.1	1	1	1
RP1-78O14.1	1	1	1
RP1-79C4.1	1	1	1
RP1-79C4.4	1	1	1
RP1-7G5.6	1	1	1
RP1-80N2.2	1	1	1
RP1-80N2.3	1	1	1
RP1-81D8.3	1	1	1
RP1-81P11.1	1	1	1
RP1-84O15.2	1	1	1
RP1-85F18.5	1	1	1
RP1-85F18.6	1	1	1
RP1-86C11.7	1.293	1	1.293
RP1-86D1.2	1	1	1
RP1-86D1.3	1	1	1
RP1-86D1.4	1	1	1
RP1-86D1.5	1	1	1
